Q23485493,Q21102919
Q23490901,Q8054
Q23229615,Q7187
Q20774786,Q7187
Q24627918,Q7187
Q24381803,Q7187
Q23145557,Q24741092
Q23144356,Q7187
Q22302408,Q24741092
Q24722174,Q27525657
Q27552289,Q8054
Q27749651,Q7187
Q23563003,Q7187
Q23098229,Q7187
Q23543292,Q7187
Q24774367,Q139677
Q23554732,Q8054
Q22296336,Q7187
Q22572614,Q27525602
Q23392177,Q21102919
Q24107389,Q24771884
Q21599734,Q8054
Q18204375,Q27525647
Q18306890,Q7187
Q24788515,Q27525602
Q22989803,Q8054
Q18318941,Q24771884
Q23508441,Q8054
Q1434987,Q7187
Q23451298,Q21102919
Q20969654,Q7187
Q23258524,Q7187
Q18261336,Q7187
Q24113773,Q8054
Q27739822,Q8054
Q23440792,Q7187
Q24113588,Q21102919
Q23171866,Q21102919
Q23604995,Q24771884
Q18552393,Q24741092
Q24137189,Q27525602
Q19035085,Q7187
Q23419633,Q8054
Q23183173,Q7187
Q24117323,Q21102919
Q23236567,Q24741092
Q23428183,Q8054
Q18306272,Q7187
Q23492021,Q21102919
Q20780591,Q7187
Q24587111,Q7187
Q23283377,Q7187
Q24604869,Q7187
Q24591194,Q7187
Q22334983,Q24771884
Q20766787,Q7187
Q23153134,Q24771884
Q21168237,Q8054
Q21111654,Q7187
Q27625764,Q24741092
Q24723224,Q27525657
Q23237558,Q7187
Q22161834,Q8054
Q6889727,Q201448
Q23468790,Q8054
Q24785199,Q24785579
Q21599896,Q8054
Q23627178,Q8054
Q23406932,Q27525602
Q23577930,Q21102919
Q23170830,Q7187
Q24179341,Q7187
Q23226038,Q7187
Q21689329,Q7187
Q3705148,Q13379369
Q22921604,Q7187
Q24785458,Q201448
Q23554314,Q8054
Q20959162,Q7187
Q23413800,Q7187
Q23344434,Q7187
Q22050605,Q21102919
Q23205069,Q7187
Q1462977,Q139677
Q20956588,Q7187
Q23588120,Q21102919
Q23613497,Q21102919
Q7889285,Q201448
Q23106923,Q21102919
Q166208,Q7187
Q24251731,Q8054
Q18256380,Q7187
Q23075766,Q7187
Q23054411,Q21102919
Q23083629,Q7187
Q26700812,Q5663900
Q18257090,Q21596683
Q23178469,Q7187
Q23598744,Q8054
Q23028820,Q27525602
Q24112134,Q27525602
Q18969362,Q7187
Q22053733,Q7187
Q24364488,Q7187
Q23530117,Q21102919
Q24580002,Q7187
Q23100222,Q7187
Q20868663,Q7187
Q23616939,Q21102919
Q23488902,Q24771884
Q23270161,Q27525602
Q18065233,Q27525657
Q23180611,Q7187
Q21419801,Q8054
Q1965974,Q7187
Q23101445,Q7187
Q21990890,Q8054
Q17103978,Q7187
Q23543891,Q24771884
Q23502568,Q7187
Q22308504,Q7187
Q23224913,Q7187
Q18035186,Q21596683
Q20959317,Q7187
Q15041875,Q7187
Q21137222,Q8054
Q23132245,Q7187
Q23259216,Q7187
Q23410186,Q7187
Q18272359,Q7187
Q23029040,Q7187
Q23505124,Q21102919
Q23450257,Q8054
Q21100487,Q8054
Q24296399,Q7187
Q23125923,Q7187
Q21494150,Q8054
Q23529445,Q8054
Q3308694,Q21125433
Q24116548,Q8054
Q23405213,Q7187
